#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,,,,,
143,Madagascar,"67,941",,"1,423                                ",,"66,470",,48,,"2,328",49,"528,012","18,096","29,178,077 ",Africa,,"42920,50555",,,,,
144,Sudan,"63,853",,"5,023                                ",,"58,538",,292,,"1,388",109,"562,941","12,240","45,992,020 ",Africa,,"7209,15682",,,,,
145,Mauritania,"63,668",,997                                ,,"62,441",,230,,"12,988",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,,,
146,Cabo Verde,"63,251",,413                                ,,"62,781",,57,23,"111,421",728,"401,622","707,482","567,678 ",Africa,,"91,3751",,,,,
147,Bhutan,"62,637",,21                                ,,"61,564",,"1,052",,"79,495",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,,,
148,Syria,"57,478",,"3,164                                ",,"54,314",,0,,"2,968",163,"146,269","7,553","19,364,809 ",Asia,,"3376,120132",,,,,
149,Burundi,"53,661",,38                                ,,"53,569",,54,,"4,250",3,"345,742","27,386","12,624,840 ",Africa,,"235332,23337",,,,,
150,Seychelles,"50,937",,172                                ,,"50,750",,15,,"512,311","1,730",,,"99,426 ",Africa,,2578,,,,,
151,Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,,"487,6191",,,,,
152,Andorra,"47,898",,165                                ,,"47,563",,170,14,"618,334","2,130","249,838","3,225,256","77,463 ",Europe,,24690,,,,,
153,Papua New Guinea,"46,826",,670                                ,,"43,982",,"2,174",7,"5,039",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"19813,86937",,,,,
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,,,
155,Aruba,"44,082",,236                                ,,"42,438",,"1,408",2,"409,650","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,,,
156,Tanzania,"42,927",,846                                ,,N/A,N/A,N/A,7,678,13,,,"63,298,550 ",Africa,,"1,47574,821",,,,,
157,Mayotte,"42,004",,188                                ,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259 ",Africa,,"71,5232",,,,,
158,Mauritius,"41,769",,"1,043                                ",,"40,052",,674,,"32,767",818,"358,675","281,374","1,274,727 ",Africa,,"311,2224",,,,,
159,Togo,"39,410",,290                                ,,"39,087",,33,,"4,540",33,"809,051","93,200","8,680,837 ",Africa,,"22029,93411",,,,,
160,Guinea,"38,267",,467                                ,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691 ",Africa,,"36229,69121",,,,,
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,,,
162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,,114812,,,,,
163,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,,"633,0095",,,,,
164,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,,"11,7580",,,,,
165,Haiti,"34,202",,860                                ,,"33,052",,290,,"2,928",74,"132,422","11,337","11,680,283 ",North America,,"34213,58288",,,,,
166,Mali,"33,071",,743                                ,,"32,233",,95,,"1,540",35,"798,636","37,191","21,473,764 ",Africa,,"64928,90127",,,,,
167,Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277 ",North America,,"21,8180",,,,,
168,Saint Lucia,"30,004",,409                                ,,"29,095",,500,,"162,085","2,209","210,983","1,139,752","185,113 ",North America,,64531,,,,,
169,Benin,"27,999",,163                                ,,"27,830",,6,,"2,190",13,"604,310","47,268","12,784,726 ",Africa,,"45778,43421",,,,,
170,Somalia,"27,324",,"1,361                                ",,"13,182",,"12,781",,"1,622",81,"400,466","23,778","16,841,795 ",Africa,,"61612,37542",,,,,
171,Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805 ",Africa,,"22815,02017",,,,,
