S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
228,STC,"3,880.00",41.00,1.07,"3,899.00","3,899.00","3,880.00",230.00,"3,839.00"
229,SWBBL,799.00,4.00,0.50,780.10,810.00,779.10,298.00,795.00
230,SWMF,678.00,-2.10,-0.31,681.20,683.00,678.00,693.00,680.10
231,TPC,430.60,-6.70,-1.53,428.80,450.00,428.80,422.00,437.30
232,TRH,470.00,7.00,1.51,470.00,479.40,469.00,"2,994.00",463.00
233,UHEWA,424.00,0.00,0.00,417.10,428.00,417.10,870.00,424.00
234,UIC,439.00,8.10,1.88,431.00,439.00,430.00,"1,200.00",430.90
235,ULBSL,"1,620.00",39.80,2.52,"1,610.00","1,640.00","1,600.00",330.00,"1,580.20"
236,ULI,409.50,1.30,0.32,402.30,413.00,402.20,"3,157.00",408.20
237,UMHL,275.00,2.00,0.73,278.40,278.40,271.50,"11,668.00",273.00
238,UMRH,502.00,-3.00,-0.59,510.00,510.00,496.30,272.00,505.00
239,UNHPL,238.00,3.00,1.28,239.70,242.00,233.10,"5,986.00",235.00
240,UNL,"20,350.00",140.00,0.69,"20,210.00","20,350.00","20,210.00",110.00,"20,210.00"
241,UNLB,"1,941.00",176.40,10.00,"1,799.80","1,941.00","1,799.80",591.00,"1,764.60"
242,UPCL,257.00,3.00,1.18,255.50,258.00,254.10,"28,149.00",254.00
243,UPPER,465.20,5.20,1.13,460.10,468.90,460.10,"10,921.00",460.00
244,USHEC,350.20,-0.80,-0.23,345.30,362.00,345.30,"1,490.00",351.00
245,USLB,725.10,1.80,0.25,711.00,725.10,711.00,42.00,723.30
246,VLBS,765.00,15.00,2.00,751.00,784.00,751.00,962.00,750.00
247,WNLB,804.00,-30.00,-3.60,820.00,820.00,804.00,49.00,834.00
